SiteName,MonitorDate,AQI
平鎮,2021/10/17,33
龍潭,2021/10/17,32
中壢,2021/10/17,38
中壢,2021/10/18,52
大園,2021/10/18,40
觀音,2021/10/18,35
平鎮,2021/10/18,50
龍潭,2021/10/18,31
桃園,2021/10/18,30
觀音,2021/10/19,39
龍潭,2021/10/19,34
平鎮,2021/10/19,43
桃園,2021/10/19,35
大園,2021/10/19,35
中壢,2021/10/19,55
觀音,2021/10/20,43
龍潭,2021/10/20,37
桃園,2021/10/20,35
大園,2021/10/20,40
平鎮,2021/10/20,45
中壢,2021/10/20,-1
大園,2021/10/21,32
觀音,2021/10/21,35
平鎮,2021/10/21,38
龍潭,2021/10/21,28
中壢,2021/10/21,-1
桃園,2021/10/21,31
桃園,2021/10/22,40
平鎮,2021/10/22,53
觀音,2021/10/22,43
大園,2021/10/22,48
中壢,2021/10/22,57
龍潭,2021/10/22,38
平鎮,2021/10/23,44
中壢,2021/10/23,43
大園,2021/10/23,39
龍潭,2021/10/23,46
桃園,2021/10/23,44
觀音,2021/10/23,41
觀音,2021/10/24,42
桃園,2021/10/24,40
大園,2021/10/24,39
平鎮,2021/10/24,37
龍潭,2021/10/24,39
中壢,2021/10/24,53
龍潭,2021/10/25,36
觀音,2021/10/25,42
大園,2021/10/25,50
桃園,2021/10/25,43
中壢,2021/10/25,58
平鎮,2021/10/25,42
桃園,2021/10/26,36
龍潭,2021/10/26,38
大園,2021/10/26,36
平鎮,2021/10/26,37
中壢,2021/10/26,53
觀音,2021/10/26,38
平鎮,2021/10/27,42
龍潭,2021/10/27,45
中壢,2021/10/27,53
桃園,2021/10/27,41
大園,2021/10/27,40
觀音,2021/10/27,45
大園,2021/10/28,41
中壢,2021/10/28,59
龍潭,2021/10/28,46
平鎮,2021/10/28,45
觀音,2021/10/28,47
桃園,2021/10/28,45
大園,2021/10/29,52
龍潭,2021/10/29,42
平鎮,2021/10/29,50
觀音,2021/10/29,50
中壢,2021/10/29,57
桃園,2021/10/29,48
中壢,2021/10/30,60
龍潭,2021/10/30,39
平鎮,2021/10/30,45
觀音,2021/10/30,61
大園,2021/10/30,59
桃園,2021/10/30,48
桃園,2021/10/31,40
龍潭,2021/10/31,43
平鎮,2021/10/31,41
觀音,2021/10/31,49
大園,2021/10/31,44
中壢,2021/10/31,45
中壢,2021/11/1,53
平鎮,2021/11/1,38
觀音,2021/11/1,42
大園,2021/11/1,41
桃園,2021/11/1,37
龍潭,2021/11/1,41
中壢,2021/11/2,55
桃園,2021/11/2,47
大園,2021/11/2,43
觀音,2021/11/2,52
平鎮,2021/11/2,48
龍潭,2021/11/2,43
桃園,2021/11/3,49
大園,2021/11/3,44
觀音,2021/11/3,57
平鎮,2021/11/3,44
龍潭,2021/11/3,41
中壢,2021/11/3,56
中壢,2021/11/4,60
桃園,2021/11/4,42
大園,2021/11/4,42
觀音,2021/11/4,42
平鎮,2021/11/4,50
龍潭,2021/11/4,48
中壢,2021/11/5,85
桃園,2021/11/5,80
大園,2021/11/5,70
觀音,2021/11/5,77
平鎮,2021/11/5,84
龍潭,2021/11/5,66
中壢,2021/11/6,67
龍潭,2021/11/6,75
平鎮,2021/11/6,68
觀音,2021/11/6,66
大園,2021/11/6,74
桃園,2021/11/6,73
桃園,2021/11/7,42
中壢,2021/11/7,52
龍潭,2021/11/7,44
平鎮,2021/11/7,42
觀音,2021/11/7,44
大園,2021/11/7,43
桃園,2021/11/8,34
中壢,2021/11/8,52
龍潭,2021/11/8,31
